e.emp_id,e.name,e.age,e.job_role,e.salary,e.project,e.join_date,e.department
541,Lisa Rush,34,Consultant,110161.11,Project3,2016-09-30,HR
543,Jesse Sparks,31,Engineer,113612.09,Beta,2010-05-10,HR
571,Laura Barry,59,Consultant,138199.51,Gamma,1982-10-31,HR
612,Anthony Berry,40,Engineer,121360.31,Project5,2008-05-06,HR
614,Matthew Alvarado,48,Manager,140925.07,Project3,2011-11-23,HR
621,Jennifer Thomas,32,Consultant,139261.3,Project4,2018-08-16,HR
630,Emily Neal,26,Manager,97765.11,Project5,2010-01-12,HR
632,Michelle Carter,36,Manager,106763.18,Beta,2016-08-25,HR
638,Kimberly Sullivan,24,Consultant,118154.32,Project2,1990-09-26,HR
653,Jacqueline Reeves,50,Developer,118632.47,Alpha,2024-01-19,HR
656,Steven Cole,36,Consultant,148918.83,Project3,1986-05-12,HR
659,Andrea Shaw DDS,31,Analyst,120103.07,Project3,2017-11-05,HR
667,Daniel Knight,33,Manager,112429.58,Alpha,1971-02-18,HR
671,Sherry Rogers,26,Engineer,126462.84,Project5,1996-10-02,HR
674,Kayla Martinez,52,Developer,98882.5,Project4,1990-08-30,HR
675,Meghan Davis,49,Consultant,126845.94,Project5,2022-05-26,HR
690,Steven Friedman,36,Analyst,102476.76,Project4,1983-08-23,HR
716,Angela Cole,46,Engineer,145109.57,Omega,1995-12-07,HR
724,Joshua Lynch,60,Analyst,131195.7,Beta,1994-11-17,HR
726,Michael Sims,39,Consultant,146764.63,Project2,1982-03-20,HR
727,Kayla Hines,26,Manager,134332.83,Project1,2007-10-25,HR
737,Frank Daniels,29,Developer,94146.15,Beta,1977-09-30,HR
746,Robin Webster,54,Manager,144244.79,Project4,2008-05-20,HR
749,Robin Oneill,26,Developer,141749.14,Omega,2016-09-10,HR
758,Bobby Gonzalez,30,Analyst,127791.43,Project5,2015-04-01,HR
764,John Miller,37,Manager,132419.97,Project2,2021-07-19,HR
776,Renee Goodwin,52,Analyst,111932.44,Omega,2007-12-14,HR
778,Kimberly Vang,28,Consultant,119331.96,Project3,2023-09-14,HR
787,Ann Soto,53,Consultant,138537.49,Project6,1995-05-01,HR
793,Charles Steele,57,Manager,125844.25,Project6,1977-01-09,HR
796,Cynthia Meyer,60,Developer,131308.6,Project4,2019-04-06,HR
797,Deborah Myers,51,Engineer,132349.6,Project6,2004-07-02,HR
803,David Owens,47,Analyst,112257.02,Delta,2022-10-06,HR
814,Angela Collier,24,Analyst,113456.23,Delta,1996-07-14,HR
820,John Zavala,35,Engineer,148037.95,Omega,1987-02-01,HR
845,Stephen Rodriguez,50,Consultant,148071.41,Gamma,1999-06-19,HR
846,Christy Lopez,45,Developer,101963.9,Gamma,1982-02-25,HR
886,Brian Torres,44,Developer,119540.83,Project1,1970-03-25,HR
888,Tyler West,23,Manager,123159.86,Project5,2017-07-30,HR
912,Brandi Cook,32,Engineer,137936.17,Project5,2022-02-15,HR
915,Anna Gonzalez,58,Developer,105627.07,Alpha,1987-04-13,HR
932,Beverly Ross,39,Consultant,135024.49,Project6,2020-01-12,HR
947,Ashley Miller,49,Developer,136059.49,Omega,2010-04-03,HR
951,David Black,58,Analyst,148740.69,Alpha,2015-02-18,HR
964,Katherine Washington MD,50,Manager,114607.95,Project3,2023-07-09,HR
975,James Hahn,49,Manager,131335.55,Alpha,2016-11-16,HR
977,Derrick Perez DVM,39,Manager,99839.23,Project6,2021-01-27,HR
979,Robin Russell,34,Manager,115569.27,Project1,2008-04-03,HR
984,Zachary Hensley,56,Developer,107260.09,Project4,2020-10-04,HR
985,Wyatt Vaughan,33,Engineer,99207.82,Omega,1990-01-29,HR
990,Steven Young,34,Manager,112116.52,Project2,1973-02-17,HR
11,Valerie Jackson,48,Developer,115039.75,Project2,2015-03-11,IT
13,Todd Hamilton,27,Manager,124462.8,Project6,2009-02-18,IT
16,Justin Warren,47,Consultant,139476.33,Beta,2004-04-28,IT
52,Robert Gonzales,34,Engineer,98837.32,Omega,1993-08-18,IT
58,Kevin Montgomery,56,Engineer,99670.62,Project5,2001-08-28,IT
59,Tracy Crawford,29,Analyst,136927.19,Project6,1982-04-25,IT
60,Scott Villarreal,55,Developer,100525.1,Project1,1992-06-15,IT
70,Thomas Jones DDS,26,Analyst,99072.0,Project4,2003-06-05,IT
76,Lisa Patrick,60,Analyst,119108.75,Gamma,2002-08-13,IT
123,Michael Edwards,59,Analyst,147824.81,Project6,2015-06-04,IT
133,James Haynes,43,Analyst,103429.83,Project3,2013-09-27,IT
138,Lori Peterson,59,Engineer,113412.85,Project1,1993-12-22,IT
150,Nancy Hunt,48,Engineer,102076.97,Alpha,1986-09-29,IT
162,Brian Vega,42,Analyst,139680.8,Omega,2009-12-28,IT
166,James Sullivan,47,Manager,99873.0,Project6,1984-04-30,IT
171,James Rodriguez,47,Developer,138415.92,Beta,1977-11-17,IT
179,Joseph Anderson,45,Analyst,130329.08,Omega,2006-08-29,IT
180,Ashley Gray,44,Consultant,136780.09,Project2,2017-12-18,IT
182,Benjamin Casey,22,Manager,138579.96,Project5,2017-08-05,IT
195,Samantha Morris,35,Manager,103159.07,Project4,2022-02-21,IT
217,Stephanie Jacobson,23,Developer,142424.21,Project6,1997-07-26,IT
238,Franklin Cordova,46,Developer,127042.64,Delta,1981-11-09,IT
243,Brittany Cantrell,22,Consultant,108596.09,Gamma,1985-09-17,IT
248,Kristin Garcia,58,Developer,137184.08,Gamma,1989-07-17,IT
258,Justin Harper,34,Engineer,113888.1,Project1,1995-12-15,IT
265,Jason Ross,55,Consultant,132324.99,Alpha,2012-12-10,IT
268,Kara Short,28,Developer,94065.44,Project3,1980-08-30,IT
269,Elizabeth Thomas,33,Developer,147009.02,Project2,2006-11-09,IT
303,Daniel Bryant,35,Developer,147946.53,Project4,2012-06-29,IT
341,David Rodgers,59,Manager,135809.8,Project6,2024-09-10,IT
356,Jack Patterson,37,Analyst,134487.97,Project4,2018-12-09,IT
383,Anita Allen MD,35,Consultant,105882.36,Project6,1972-04-23,IT
399,Dr. Charles Turner,60,Manager,104580.16,Gamma,1996-09-01,IT
424,Adam Anderson,30,Developer,135580.78,Delta,2018-08-01,IT
448,Matthew Rojas,39,Developer,138902.5,Project2,2012-02-09,IT
453,Aaron Craig,42,Analyst,96817.13,Project6,2018-02-05,IT
459,Michael Williams,53,Engineer,137463.74,Alpha,2020-08-31,IT
463,Bailey Rivas,37,Consultant,114382.35,Omega,1985-02-25,IT
473,Johnathan Hart,27,Developer,127124.45,Delta,1995-06-01,IT
477,Amber Kennedy,46,Engineer,141965.58,Project4,2024-01-29,IT
501,Maria Logan,55,Analyst,140378.43,Project3,1975-11-19,IT
507,Aaron Graham,59,Analyst,140277.08,Beta,1995-01-25,IT
513,Rachel Arroyo,26,Engineer,133896.04,Project2,2003-04-10,IT
516,Kristin Bowen,46,Consultant,129509.82,Beta,2005-10-15,IT
527,Martin Tran,56,Analyst,123973.74,Project1,1998-11-08,IT
532,Scott Berry,52,Engineer,146360.79,Beta,1983-09-16,IT
545,Kelly Frederick,40,Analyst,127793.52,Project1,1996-03-02,IT
549,Kevin Kane,52,Consultant,121366.96,Beta,1980-02-27,IT
555,Joseph Hickman,31,Consultant,98968.05,Project2,2003-05-17,IT
556,Richard Joseph,23,Developer,103422.86,Omega,2018-05-16,IT
565,Brian Bowen,25,Engineer,107698.21,Project5,1999-12-18,IT
599,Tammy Adams,45,Developer,111279.27,Project3,1979-04-20,IT
611,Amber Johnson,26,Manager,119350.76,Project2,2000-03-04,IT
631,Tammy Bray,59,Engineer,101871.36,Project6,1986-05-07,IT
665,Frederick Fuller,32,Developer,149392.32,Omega,1976-08-03,IT
699,Peter Thompson,49,Developer,108266.29,Project2,1990-03-16,IT
706,Robert Ingram,55,Analyst,121015.16,Project3,2020-01-14,IT
714,Grant Kelley,42,Consultant,104393.13,Delta,1974-07-12,IT
715,Travis Smith,28,Engineer,136642.5,Alpha,1996-12-18,IT
742,Ashley Watts,40,Manager,124969.01,Gamma,1980-04-25,IT
751,Marcia Flores,22,Manager,140515.95,Project2,2020-03-29,IT
754,Johnny Terrell,27,Engineer,136068.04,Gamma,1971-05-21,IT
775,Joseph Avery,27,Developer,133788.93,Beta,2012-08-16,IT
782,Norma Jackson,42,Engineer,137780.81,Project4,1985-10-20,IT
800,Jeffrey Small,23,Manager,137051.02,Project3,2007-07-16,IT
802,Michael Cox,32,Developer,128477.5,Beta,2000-03-12,IT
812,Robert Quinn,49,Consultant,128429.4,Alpha,2007-10-09,IT
819,Laura Hall,32,Engineer,148375.38,Project1,1977-04-09,IT
830,Elizabeth Butler,47,Analyst,113341.58,Gamma,1979-07-13,IT
833,Robert Hall,57,Analyst,119679.26,Project6,2024-03-04,IT
834,Gregory Reed,27,Engineer,107234.38,Project5,1971-09-11,IT
858,Daniel Miller,51,Developer,115444.74,Project6,1977-06-03,IT
863,Debbie Baker,57,Developer,118670.53,Delta,2007-07-03,IT
871,Brian Tran,35,Analyst,96189.52,Delta,1981-04-20,IT
873,Jacob Anthony,46,Developer,124292.23,Delta,1993-11-30,IT
880,Kimberly Patterson,54,Consultant,133219.73,Gamma,1977-01-26,IT
896,Terrence Wilson,55,Consultant,137470.55,Omega,1987-09-13,IT
904,Joseph Rogers,26,Developer,135812.17,Project1,1998-04-21,IT
905,Barry Bradley,35,Analyst,143380.56,Delta,1993-11-13,IT
921,Michael Davis,48,Developer,94283.29,Project3,2008-09-01,IT
922,Olivia Bryan,38,Consultant,130834.47,Beta,1979-06-23,IT
927,Mark Byrd,30,Manager,115740.12,Project3,1992-03-05,IT
929,Diane Wells,22,Manager,126120.95,Project1,2005-02-04,IT
941,Jill Taylor,27,Manager,113266.68,Gamma,2009-12-17,IT
948,Wendy Young,57,Consultant,145520.08,Project3,2009-04-17,IT
960,Rachael Wells,23,Consultant,133574.32,Beta,2015-09-28,IT
974,Mark Smith,25,Engineer,98348.21,Beta,2018-06-01,IT
11,Valerie Jackson,48,Developer,115039.75,Project2,2015-03-11,IT
13,Todd Hamilton,27,Manager,124462.8,Project6,2009-02-18,IT
16,Justin Warren,47,Consultant,139476.33,Beta,2004-04-28,IT
52,Robert Gonzales,34,Engineer,98837.32,Omega,1993-08-18,IT
58,Kevin Montgomery,56,Engineer,99670.62,Project5,2001-08-28,IT
59,Tracy Crawford,29,Analyst,136927.19,Project6,1982-04-25,IT
60,Scott Villarreal,55,Developer,100525.1,Project1,1992-06-15,IT
70,Thomas Jones DDS,26,Analyst,99072.0,Project4,2003-06-05,IT
76,Lisa Patrick,60,Analyst,119108.75,Gamma,2002-08-13,IT
123,Michael Edwards,59,Analyst,147824.81,Project6,2015-06-04,IT
133,James Haynes,43,Analyst,103429.83,Project3,2013-09-27,IT
138,Lori Peterson,59,Engineer,113412.85,Project1,1993-12-22,IT
150,Nancy Hunt,48,Engineer,102076.97,Alpha,1986-09-29,IT
162,Brian Vega,42,Analyst,139680.8,Omega,2009-12-28,IT
166,James Sullivan,47,Manager,99873.0,Project6,1984-04-30,IT
171,James Rodriguez,47,Developer,138415.92,Beta,1977-11-17,IT
179,Joseph Anderson,45,Analyst,130329.08,Omega,2006-08-29,IT
180,Ashley Gray,44,Consultant,136780.09,Project2,2017-12-18,IT
182,Benjamin Casey,22,Manager,138579.96,Project5,2017-08-05,IT
195,Samantha Morris,35,Manager,103159.07,Project4,2022-02-21,IT
217,Stephanie Jacobson,23,Developer,142424.21,Project6,1997-07-26,IT
238,Franklin Cordova,46,Developer,127042.64,Delta,1981-11-09,IT
243,Brittany Cantrell,22,Consultant,108596.09,Gamma,1985-09-17,IT
248,Kristin Garcia,58,Developer,137184.08,Gamma,1989-07-17,IT
258,Justin Harper,34,Engineer,113888.1,Project1,1995-12-15,IT
265,Jason Ross,55,Consultant,132324.99,Alpha,2012-12-10,IT
268,Kara Short,28,Developer,94065.44,Project3,1980-08-30,IT
269,Elizabeth Thomas,33,Developer,147009.02,Project2,2006-11-09,IT
303,Daniel Bryant,35,Developer,147946.53,Project4,2012-06-29,IT
341,David Rodgers,59,Manager,135809.8,Project6,2024-09-10,IT
356,Jack Patterson,37,Analyst,134487.97,Project4,2018-12-09,IT
383,Anita Allen MD,35,Consultant,105882.36,Project6,1972-04-23,IT
399,Dr. Charles Turner,60,Manager,104580.16,Gamma,1996-09-01,IT
424,Adam Anderson,30,Developer,135580.78,Delta,2018-08-01,IT
448,Matthew Rojas,39,Developer,138902.5,Project2,2012-02-09,IT
453,Aaron Craig,42,Analyst,96817.13,Project6,2018-02-05,IT
459,Michael Williams,53,Engineer,137463.74,Alpha,2020-08-31,IT
463,Bailey Rivas,37,Consultant,114382.35,Omega,1985-02-25,IT
473,Johnathan Hart,27,Developer,127124.45,Delta,1995-06-01,IT
477,Amber Kennedy,46,Engineer,141965.58,Project4,2024-01-29,IT
501,Maria Logan,55,Analyst,140378.43,Project3,1975-11-19,IT
507,Aaron Graham,59,Analyst,140277.08,Beta,1995-01-25,IT
513,Rachel Arroyo,26,Engineer,133896.04,Project2,2003-04-10,IT
516,Kristin Bowen,46,Consultant,129509.82,Beta,2005-10-15,IT
527,Martin Tran,56,Analyst,123973.74,Project1,1998-11-08,IT
532,Scott Berry,52,Engineer,146360.79,Beta,1983-09-16,IT
545,Kelly Frederick,40,Analyst,127793.52,Project1,1996-03-02,IT
549,Kevin Kane,52,Consultant,121366.96,Beta,1980-02-27,IT
555,Joseph Hickman,31,Consultant,98968.05,Project2,2003-05-17,IT
556,Richard Joseph,23,Developer,103422.86,Omega,2018-05-16,IT
565,Brian Bowen,25,Engineer,107698.21,Project5,1999-12-18,IT
599,Tammy Adams,45,Developer,111279.27,Project3,1979-04-20,IT
611,Amber Johnson,26,Manager,119350.76,Project2,2000-03-04,IT
631,Tammy Bray,59,Engineer,101871.36,Project6,1986-05-07,IT
665,Frederick Fuller,32,Developer,149392.32,Omega,1976-08-03,IT
699,Peter Thompson,49,Developer,108266.29,Project2,1990-03-16,IT
706,Robert Ingram,55,Analyst,121015.16,Project3,2020-01-14,IT
714,Grant Kelley,42,Consultant,104393.13,Delta,1974-07-12,IT
715,Travis Smith,28,Engineer,136642.5,Alpha,1996-12-18,IT
742,Ashley Watts,40,Manager,124969.01,Gamma,1980-04-25,IT
751,Marcia Flores,22,Manager,140515.95,Project2,2020-03-29,IT
754,Johnny Terrell,27,Engineer,136068.04,Gamma,1971-05-21,IT
775,Joseph Avery,27,Developer,133788.93,Beta,2012-08-16,IT
782,Norma Jackson,42,Engineer,137780.81,Project4,1985-10-20,IT
800,Jeffrey Small,23,Manager,137051.02,Project3,2007-07-16,IT
802,Michael Cox,32,Developer,128477.5,Beta,2000-03-12,IT
812,Robert Quinn,49,Consultant,128429.4,Alpha,2007-10-09,IT
819,Laura Hall,32,Engineer,148375.38,Project1,1977-04-09,IT
830,Elizabeth Butler,47,Analyst,113341.58,Gamma,1979-07-13,IT
833,Robert Hall,57,Analyst,119679.26,Project6,2024-03-04,IT
834,Gregory Reed,27,Engineer,107234.38,Project5,1971-09-11,IT
858,Daniel Miller,51,Developer,115444.74,Project6,1977-06-03,IT
863,Debbie Baker,57,Developer,118670.53,Delta,2007-07-03,IT
871,Brian Tran,35,Analyst,96189.52,Delta,1981-04-20,IT
873,Jacob Anthony,46,Developer,124292.23,Delta,1993-11-30,IT
880,Kimberly Patterson,54,Consultant,133219.73,Gamma,1977-01-26,IT
896,Terrence Wilson,55,Consultant,137470.55,Omega,1987-09-13,IT
904,Joseph Rogers,26,Developer,135812.17,Project1,1998-04-21,IT
905,Barry Bradley,35,Analyst,143380.56,Delta,1993-11-13,IT
921,Michael Davis,48,Developer,94283.29,Project3,2008-09-01,IT
922,Olivia Bryan,38,Consultant,130834.47,Beta,1979-06-23,IT
927,Mark Byrd,30,Manager,115740.12,Project3,1992-03-05,IT
929,Diane Wells,22,Manager,126120.95,Project1,2005-02-04,IT
941,Jill Taylor,27,Manager,113266.68,Gamma,2009-12-17,IT
948,Wendy Young,57,Consultant,145520.08,Project3,2009-04-17,IT
960,Rachael Wells,23,Consultant,133574.32,Beta,2015-09-28,IT
974,Mark Smith,25,Engineer,98348.21,Beta,2018-06-01,IT
14,Dana Griffin,59,Consultant,137338.18,Beta,2000-05-07,Marketing
25,Daisy Gordon,54,Manager,119510.51,Gamma,2023-07-17,Marketing
32,Charles Baldwin,28,Engineer,143854.77,Project5,1980-09-20,Marketing
33,Justin Durham,33,Developer,116524.25,Project4,2008-08-19,Marketing
34,Heidi Johnson,36,Engineer,120789.04,Project5,1991-04-04,Marketing
36,Denise Ramirez,40,Developer,131328.31,Project6,1974-06-09,Marketing
48,Daniel Frey,40,Consultant,138322.45,Project2,1993-12-02,Marketing
62,Ashlee Barr,39,Engineer,141545.65,Beta,1986-10-17,Marketing
64,Jillian Acevedo,60,Consultant,135858.31,Project1,2018-09-13,Marketing
71,Alex Matthews,40,Analyst,127509.39,Project6,2011-05-25,Marketing
115,Tara Lopez,53,Engineer,122348.55,Project4,2016-06-20,Marketing
134,Alexandria Acosta,43,Analyst,149379.18,Project6,2000-03-14,Marketing
145,Adam Thornton,29,Analyst,122838.03,Beta,2002-04-16,Marketing
165,Mrs. Jessica Wright,44,Analyst,95360.65,Project4,1989-05-09,Marketing
187,Mrs. Andrea Brown,46,Analyst,147605.88,Project3,1978-12-21,Marketing
188,Colin Davis,60,Consultant,123927.28,Project2,1984-01-09,Marketing
200,Gloria Haynes,23,Developer,147483.97,Project3,1988-10-02,Marketing
206,Richard Cantrell,37,Developer,136199.64,Project3,2011-05-14,Marketing
219,Bonnie Downs,31,Analyst,101366.33,Alpha,2022-10-15,Marketing
225,Antonio Caldwell,57,Consultant,115137.12,Alpha,2018-09-11,Marketing
242,Alexa Williams MD,45,Engineer,135730.82,Project6,1997-09-22,Marketing
287,Tami Cole,29,Manager,124666.65,Project6,2021-09-17,Marketing
300,Meredith Miller,38,Consultant,144844.85,Project4,1997-01-01,Marketing
304,Haley Lopez,25,Engineer,119815.43,Project2,2007-05-01,Marketing
307,Kirk Perez,39,Manager,108102.42,Project4,1997-10-25,Marketing
311,Erica Flores,47,Consultant,144795.31,Beta,2010-12-13,Marketing
324,Lauren Price,56,Consultant,117334.02,Beta,1990-08-04,Marketing
337,Jennifer Nielsen,53,Consultant,122498.16,Project1,2008-11-21,Marketing
338,Michaela Norris,36,Engineer,106254.14,Omega,1979-03-21,Marketing
358,Bradley Perkins,38,Manager,120559.59,Project6,1981-04-30,Marketing
364,Mary Richards,35,Engineer,107516.28,Beta,1984-01-31,Marketing
372,Alex Edwards,58,Analyst,128230.92,Project2,2016-05-12,Marketing
373,Casey Frazier,54,Developer,127976.75,Alpha,2003-02-14,Marketing
380,Antonio Holmes,46,Engineer,147314.98,Project3,1980-03-09,Marketing
386,Debra Wallace,24,Analyst,96919.43,Gamma,1992-04-05,Marketing
395,Kristin Garrett,24,Consultant,141404.86,Omega,1980-04-11,Marketing
403,Jessica Gibson,51,Manager,136990.36,Beta,2003-11-04,Marketing
407,Sharon Murphy,52,Engineer,146809.01,Project1,1986-03-16,Marketing
412,Kurt Baker,54,Consultant,127456.0,Project6,1973-01-26,Marketing
413,Joseph Taylor,55,Manager,96346.77,Project2,2011-03-02,Marketing
415,Lindsay Liu,24,Manager,122903.95,Delta,2006-12-27,Marketing
454,Janet Logan,36,Manager,105386.97,Project1,1974-06-19,Marketing
458,Daniel Montgomery MD,23,Engineer,147532.06,Project4,2019-05-01,Marketing
472,Ebony Stevens,57,Engineer,99203.21,Omega,1992-05-02,Marketing
519,Brooke Cummings,35,Analyst,128661.69,Beta,1989-03-27,Marketing
533,Kevin Ball,48,Developer,127386.59,Beta,1988-10-13,Marketing
537,Sharon Cook,34,Engineer,147120.18,Project1,1987-09-19,Marketing
551,Derek Hickman,31,Developer,115133.8,Gamma,1990-08-07,Marketing
560,Christopher Adams,52,Consultant,105559.49,Beta,2023-09-08,Marketing
566,Oscar Phillips,29,Analyst,131703.31,Omega,2006-02-07,Marketing
570,Becky Martin,53,Consultant,143701.43,Project2,2020-01-23,Marketing
572,Dr. Crystal Williams,37,Analyst,114659.99,Project1,1977-01-13,Marketing
581,Sarah Martinez,40,Developer,103027.75,Beta,2007-03-24,Marketing
582,Gabriel Buck,53,Developer,149940.76,Project1,2016-05-21,Marketing
583,Angela Campbell,34,Developer,113237.33,Project6,1998-10-18,Marketing
587,Christian Gibson,37,Analyst,146740.16,Delta,1997-05-10,Marketing
588,Laurie Brandt,46,Engineer,149456.72,Delta,1991-10-01,Marketing
590,Brian Calderon,34,Developer,137535.07,Gamma,1973-05-19,Marketing
591,Karen Chambers,48,Developer,124091.03,Project4,2019-06-19,Marketing
616,Elizabeth Sanchez,48,Manager,134151.0,Project3,1974-09-21,Marketing
640,Samuel Barrera,49,Engineer,139770.49,Project2,1979-06-11,Marketing
645,Brandon Rogers,44,Analyst,105072.96,Project3,2004-10-23,Marketing
652,Dr. Krystal Holland,56,Analyst,140131.51,Project2,1999-06-04,Marketing
655,April Callahan,50,Engineer,111497.89,Project1,2014-04-01,Marketing
657,Clifford Zavala,45,Developer,126432.86,Alpha,2015-09-17,Marketing
660,Sara Bailey,52,Manager,106862.84,Project5,2007-03-29,Marketing
668,Kathy Smith,60,Consultant,120218.07,Gamma,2014-09-08,Marketing
679,Robin Bush,36,Consultant,142449.26,Project2,1984-02-05,Marketing
697,Michael Armstrong,32,Consultant,116990.61,Project1,1973-07-29,Marketing
713,Hayden Stone,35,Engineer,125464.68,Project3,2018-09-17,Marketing
738,Charles Fields,37,Analyst,144076.64,Omega,1988-09-09,Marketing
757,Tanya Smith,23,Manager,132176.97,Project2,1981-12-24,Marketing
773,Brian Leonard,40,Analyst,96360.27,Alpha,1997-04-08,Marketing
777,John Wyatt,38,Engineer,110587.25,Project1,2002-06-02,Marketing
785,Kristine Rowland,55,Analyst,127887.72,Project5,1975-03-22,Marketing
806,Harold Taylor,38,Consultant,133401.37,Project4,1994-08-01,Marketing
816,Sue Hill,57,Developer,120553.91,Project4,1982-04-11,Marketing
826,Michelle Mccann,26,Engineer,96590.45,Project2,1974-01-26,Marketing
867,Kevin Jackson,29,Manager,105458.98,Alpha,1986-02-15,Marketing
869,Julia Swanson,44,Analyst,131857.45,Alpha,1992-02-16,Marketing
878,Lori Moreno,23,Developer,116953.91,Beta,2011-01-25,Marketing
881,Michael Rice,54,Consultant,124198.83,Delta,2017-04-18,Marketing
885,Heather Allen,31,Engineer,111745.91,Omega,1991-12-01,Marketing
899,Amy Brown,56,Analyst,119514.59,Project4,2003-05-04,Marketing
917,Douglas Adams,44,Analyst,107044.2,Project1,2024-11-01,Marketing
949,Jesus Clark,31,Manager,133641.21,Project4,1999-05-26,Marketing
952,Isaac Nelson,56,Consultant,143348.72,Project5,1971-04-09,Marketing
953,Andrew Alexander,39,Developer,120611.53,Project6,1991-02-26,Marketing
980,Alexandria Burns,34,Manager,114714.15,Alpha,1972-11-20,Marketing
14,Dana Griffin,59,Consultant,137338.18,Beta,2000-05-07,Marketing
25,Daisy Gordon,54,Manager,119510.51,Gamma,2023-07-17,Marketing
32,Charles Baldwin,28,Engineer,143854.77,Project5,1980-09-20,Marketing
33,Justin Durham,33,Developer,116524.25,Project4,2008-08-19,Marketing
34,Heidi Johnson,36,Engineer,120789.04,Project5,1991-04-04,Marketing
36,Denise Ramirez,40,Developer,131328.31,Project6,1974-06-09,Marketing
48,Daniel Frey,40,Consultant,138322.45,Project2,1993-12-02,Marketing
62,Ashlee Barr,39,Engineer,141545.65,Beta,1986-10-17,Marketing
64,Jillian Acevedo,60,Consultant,135858.31,Project1,2018-09-13,Marketing
71,Alex Matthews,40,Analyst,127509.39,Project6,2011-05-25,Marketing
115,Tara Lopez,53,Engineer,122348.55,Project4,2016-06-20,Marketing
134,Alexandria Acosta,43,Analyst,149379.18,Project6,2000-03-14,Marketing
145,Adam Thornton,29,Analyst,122838.03,Beta,2002-04-16,Marketing
165,Mrs. Jessica Wright,44,Analyst,95360.65,Project4,1989-05-09,Marketing
187,Mrs. Andrea Brown,46,Analyst,147605.88,Project3,1978-12-21,Marketing
188,Colin Davis,60,Consultant,123927.28,Project2,1984-01-09,Marketing
200,Gloria Haynes,23,Developer,147483.97,Project3,1988-10-02,Marketing
206,Richard Cantrell,37,Developer,136199.64,Project3,2011-05-14,Marketing
219,Bonnie Downs,31,Analyst,101366.33,Alpha,2022-10-15,Marketing
225,Antonio Caldwell,57,Consultant,115137.12,Alpha,2018-09-11,Marketing
242,Alexa Williams MD,45,Engineer,135730.82,Project6,1997-09-22,Marketing
287,Tami Cole,29,Manager,124666.65,Project6,2021-09-17,Marketing
300,Meredith Miller,38,Consultant,144844.85,Project4,1997-01-01,Marketing
304,Haley Lopez,25,Engineer,119815.43,Project2,2007-05-01,Marketing
307,Kirk Perez,39,Manager,108102.42,Project4,1997-10-25,Marketing
311,Erica Flores,47,Consultant,144795.31,Beta,2010-12-13,Marketing
324,Lauren Price,56,Consultant,117334.02,Beta,1990-08-04,Marketing
337,Jennifer Nielsen,53,Consultant,122498.16,Project1,2008-11-21,Marketing
338,Michaela Norris,36,Engineer,106254.14,Omega,1979-03-21,Marketing
358,Bradley Perkins,38,Manager,120559.59,Project6,1981-04-30,Marketing
364,Mary Richards,35,Engineer,107516.28,Beta,1984-01-31,Marketing
372,Alex Edwards,58,Analyst,128230.92,Project2,2016-05-12,Marketing
373,Casey Frazier,54,Developer,127976.75,Alpha,2003-02-14,Marketing
380,Antonio Holmes,46,Engineer,147314.98,Project3,1980-03-09,Marketing
386,Debra Wallace,24,Analyst,96919.43,Gamma,1992-04-05,Marketing
395,Kristin Garrett,24,Consultant,141404.86,Omega,1980-04-11,Marketing
403,Jessica Gibson,51,Manager,136990.36,Beta,2003-11-04,Marketing
407,Sharon Murphy,52,Engineer,146809.01,Project1,1986-03-16,Marketing
412,Kurt Baker,54,Consultant,127456.0,Project6,1973-01-26,Marketing
413,Joseph Taylor,55,Manager,96346.77,Project2,2011-03-02,Marketing
415,Lindsay Liu,24,Manager,122903.95,Delta,2006-12-27,Marketing
454,Janet Logan,36,Manager,105386.97,Project1,1974-06-19,Marketing
458,Daniel Montgomery MD,23,Engineer,147532.06,Project4,2019-05-01,Marketing
472,Ebony Stevens,57,Engineer,99203.21,Omega,1992-05-02,Marketing
519,Brooke Cummings,35,Analyst,128661.69,Beta,1989-03-27,Marketing
533,Kevin Ball,48,Developer,127386.59,Beta,1988-10-13,Marketing
537,Sharon Cook,34,Engineer,147120.18,Project1,1987-09-19,Marketing
551,Derek Hickman,31,Developer,115133.8,Gamma,1990-08-07,Marketing
560,Christopher Adams,52,Consultant,105559.49,Beta,2023-09-08,Marketing
566,Oscar Phillips,29,Analyst,131703.31,Omega,2006-02-07,Marketing
570,Becky Martin,53,Consultant,143701.43,Project2,2020-01-23,Marketing
572,Dr. Crystal Williams,37,Analyst,114659.99,Project1,1977-01-13,Marketing
581,Sarah Martinez,40,Developer,103027.75,Beta,2007-03-24,Marketing
582,Gabriel Buck,53,Developer,149940.76,Project1,2016-05-21,Marketing
583,Angela Campbell,34,Developer,113237.33,Project6,1998-10-18,Marketing
587,Christian Gibson,37,Analyst,146740.16,Delta,1997-05-10,Marketing
588,Laurie Brandt,46,Engineer,149456.72,Delta,1991-10-01,Marketing
590,Brian Calderon,34,Developer,137535.07,Gamma,1973-05-19,Marketing
591,Karen Chambers,48,Developer,124091.03,Project4,2019-06-19,Marketing
616,Elizabeth Sanchez,48,Manager,134151.0,Project3,1974-09-21,Marketing
640,Samuel Barrera,49,Engineer,139770.49,Project2,1979-06-11,Marketing
645,Brandon Rogers,44,Analyst,105072.96,Project3,2004-10-23,Marketing
652,Dr. Krystal Holland,56,Analyst,140131.51,Project2,1999-06-04,Marketing
